BEGIN DEBUGGING
Radar NIS: 2.06499
Lidar NIS: 0.210102
Radar NIS: 2.98003
Lidar NIS: 0.710046
Radar NIS: 5.31164
Lidar NIS: 1.04365
Radar NIS: 5.83573
Lidar NIS: 0.610689
Radar NIS: 1.5093
Lidar NIS: 1.90077
Radar NIS: 2.89819
Lidar NIS: 0.10048
Radar NIS: 4.53926
Lidar NIS: 2.23217
Radar NIS: 2.59805
Lidar NIS: 1.00407
Radar NIS: 0.117243
Lidar NIS: 2.42691
Radar NIS: 2.45485
Lidar NIS: 2.44781
Radar NIS: 1.19756
Lidar NIS: 0.789954
Radar NIS: 4.23208
Lidar NIS: 0.028723
Radar NIS: 1.09174
Lidar NIS: 1.19306
Radar NIS: 0.112418
Lidar NIS: 0.527748
Radar NIS: 4.4088
Lidar NIS: 1.1464
Radar NIS: 0.529934
Lidar NIS: 5.33503
Radar NIS: 1.16899
Lidar NIS: 3.58894
Radar NIS: 5.37604
Lidar NIS: 1.47029
Radar NIS: 86.9531
Lidar NIS: 1.4777
Radar NIS: 3.8549
Lidar NIS: 2.56365
Radar NIS: 5.82429
Lidar NIS: 1.30225
Radar NIS: 2.49972
Lidar NIS: 1.40311
Radar NIS: 3.09227
Lidar NIS: 0.227641
Radar NIS: 3.91169
Lidar NIS: 0.892168
Radar NIS: 1.3593
Lidar NIS: 1.76476
Radar NIS: 0.356437
Lidar NIS: 1.68674
Radar NIS: 4.26786
Lidar NIS: 5.46601
Radar NIS: 0.569775
Lidar NIS: 0.487549
Radar NIS: 0.368339
Lidar NIS: 1.12289
Radar NIS: 1.93735
Lidar NIS: 0.213303
Radar NIS: 2.96301
Lidar NIS: 2.03113
Radar NIS: 0.298544
Lidar NIS: 0.0557346
Radar NIS: 5.00973
Lidar NIS: 3.82843
Radar NIS: 1.36628
Lidar NIS: 0.665094
Radar NIS: 7.22458
Lidar NIS: 0.818745
Radar NIS: 0.779688
Lidar NIS: 3.85011
Radar NIS: 1.8474
Lidar NIS: 3.62001
Radar NIS: 1.45414
Lidar NIS: 2.99545
Radar NIS: 1.73093
Lidar NIS: 2.8534
Radar NIS: 0.969369
Lidar NIS: 0.717591
Radar NIS: 2.93779
Lidar NIS: 1.7299
Radar NIS: 1.5407
Lidar NIS: 4.89252
Radar NIS: 2.81087
Lidar NIS: 2.02499
Radar NIS: 3.48585
Lidar NIS: 0.900275
Radar NIS: 2.70752
Lidar NIS: 0.542448
Radar NIS: 0.425679
Lidar NIS: 2.33485
Radar NIS: 4.41691
Lidar NIS: 5.01199
Radar NIS: 1.88355
Lidar NIS: 1.99736
Radar NIS: 2.04286
Lidar NIS: 0.685582
Radar NIS: 4.79338
Lidar NIS: 1.93502
Radar NIS: 7.76136
Lidar NIS: 0.482684
Radar NIS: 1.6803
Lidar NIS: 0.303623
Radar NIS: 0.566673
Lidar NIS: 1.7188
Radar NIS: 1.81783
Lidar NIS: 0.286311
Radar NIS: 3.85323
Lidar NIS: 3.20112
Radar NIS: 1.2035
Lidar NIS: 1.65116
Radar NIS: 5.07233
Lidar NIS: 13.4348
